Distance_m,Latitude,Longitude,Altitude_m,Slope_percent
11200,-26.772352360515022,27.763770155166725,1437.0,2.0
11300,-26.771929613733906,27.763191317266426,1439.0,0.0
11400,-26.77150686695279,27.76261247936613,1439.0,1.0
11500,-26.771084120171675,27.76203364146583,1440.0,1.0
11600,-26.77066137339056,27.761454803565535,1441.0,0.0
11700,-26.770238626609444,27.76087596566524,1441.0,-2.0
11800,-26.76981587982833,27.76029712776494,1439.0,0.0
11900,-26.76939313304721,27.759718289864644,1439.0,-1.0
12000,-26.768970386266094,27.759139451964344,1438.0,0.0
12100,-26.76854763948498,27.75856061406405,1438.0,0.0
12200,-26.768124892703863,27.757981776163753,1438.0,0.0
12300,-26.767702145922748,27.757402938263454,1438.0,0.0
12400,-26.767279399141632,27.756824100363158,1438.0,1.0
12500,-26.766856652360516,27.756245262462862,1439.0,1.0
12600,-26.7664339055794,27.755666424562563,1440.0,0.0
12700,-26.766011158798285,27.755087586662267,1440.0,0.0
12800,-26.76558841201717,27.754508748761967,1440.0,1.0
12900,-26.76516566523605,27.75392991086167,1441.0,-1.0
13000,-26.764742918454935,27.753351072961376,1440.0,2.0
13100,-26.76432017167382,27.752772235061077,1442.0,0.0
13200,-26.763897424892704,27.75219339716078,1442.0,0.0
13300,-26.76347467811159,27.751614559260485,1442.0,1.0
13400,-26.763051931330473,27.751035721360186,1443.0,1.0
13500,-26.762629184549358,27.75045688345989,1444.0,0.0
13600,-26.762206437768242,27.74987804555959,1444.0,0.0
13700,-26.761783690987127,27.749299207659295,1444.0,0.0
13800,-26.76136094420601,27.748720369759,1444.0,1.0
13900,-26.760938197424895,27.7481415318587,1445.0,0.0
14000,-26.760515450643776,27.747562693958404,1445.0,2.0
14100,-26.76009270386266,27.746983856058108,1447.0,1.0
14200,-26.759669957081545,27.74640501815781,1448.0,0.0
14300,-26.75924721030043,27.745826180257513,1448.0,0.0
14400,-26.758824463519314,27.745247342357214,1448.0,-2.0
14500,-26.7584017167382,27.744668504456918,1446.0,1.0
14600,-26.757978969957083,27.744089666556622,1447.0,0.0
14700,-26.757556223175968,27.743510828656323,1447.0,0.0
14800,-26.757133476394852,27.742931990756027,1447.0,0.0
14900,-26.756710729613737,27.742353152855728,1447.0,0.0
15000,-26.756287982832617,27.741774314955432,1447.0,1.0
15100,-26.755865236051502,27.741195477055136,1448.0,-1.0
15200,-26.755442489270386,27.740616639154837,1447.0,0.0
15300,-26.75501974248927,27.74003780125454,1447.0,-1.0
15400,-26.754596995708155,27.739458963354245,1446.0,-1.0
15500,-26.75417424892704,27.738880125453946,1445.0,0.0
15600,-26.753751502145924,27.73830128755365,1445.0,2.0
15700,-26.75332875536481,27.73772244965335,1447.0,-1.0
15800,-26.752906008583693,27.737143611753055,1446.0,0.0
15900,-26.752483261802578,27.73656477385276,1446.0,0.0
16000,-26.75206051502146,27.73598593595246,1446.0,1.0
16100,-26.751637768240343,27.735407098052164,1447.0,0.0
16200,-26.751215021459227,27.73482826015187,1447.0,0.0
16300,-26.750792274678112,27.73424942225157,1447.0,1.0
16400,-26.750369527896996,27.733670584351273,1448.0,-1.0
16500,-26.74994678111588,27.733091746450974,1447.0,0.0
16600,-26.749524034334765,27.732512908550678,1447.0,0.0
16700,-26.74910128755365,27.731934070650382,1447.0,-1.0
16800,-26.748678540772534,27.731355232750083,1446.0,0.0
16900,-26.74825579399142,27.730776394849787,1446.0,0.0
17000,-26.7478330472103,27.73019755694949,1446.0,-1.0
17100,-26.747410300429184,27.729618719049192,1445.0,0.0
17200,-26.74698755364807,27.729039881148896,1445.0,-1.0
17300,-26.746564806866953,27.728461043248597,1444.0,1.0
17400,-26.746142060085837,27.7278822053483,1445.0,-1.0
17500,-26.745719313304722,27.727303367448005,1444.0,0.0
17600,-26.745296566523606,27.726724529547706,1444.0,-2.0
17700,-26.74487381974249,27.72614569164741,1442.0,-2.0
17800,-26.744451072961375,27.72556685374711,1440.0,3.0
17900,-26.74402832618026,27.724988015846815,1443.0,-3.0
18000,-26.743605579399144,27.72440917794652,1440.0,-1.0
18100,-26.743182832618025,27.72383034004622,1439.0,-1.0
18200,-26.74276008583691,27.723251502145924,1438.0,1.0
18300,-26.742337339055794,27.72267266424563,1439.0,0.0
18400,-26.74191459227468,27.72209382634533,1439.0,-1.0
18500,-26.741491845493563,27.721514988445033,1438.0,0.0
18600,-26.741069098712448,27.720936150544734,1438.0,-2.0
18700,-26.740646351931332,27.72035731264444,1436.0,-1.0
18800,-26.740223605150216,27.719778474744142,1435.0,1.0
18900,-26.7398008583691,27.719199636843843,1436.0,-2.0
19000,-26.739378111587985,27.718620798943547,1434.0,-1.0
19100,-26.738955364806866,27.71804196104325,1433.0,0.0
19200,-26.73853261802575,27.717463123142952,1433.0,-4.0
19300,-26.738109871244635,27.716884285242656,1429.0,-3.0
19400,-26.73768712446352,27.716305447342357,1426.0,-3.0
